"FileIndex","PlotIndex","TRecIndex","TRecType","Measurement","SpeciesCode","SpeciesName","GroupName","Dbh","ProductNumb","ProductName","TQIPrd","Count","GSF","PACF","DefStumpHt","HmObs","HsObs","HpObs","HmEst","HsEst","HpEst","Top","Defect","FcObs","FcEst","Age","Ht","RadialGr","SngBark","ReproPlot","OffPlot","SubMerch","PWOnly","StumpHt","StumpDia","TClass","TClassName","TClass2","TClassName2","IsGradeTree","GrdStumpHt","StopTop","TopType","TopTypeV","SGL1","GRD1","GRDV1","DEF1","SGL2","GRD2","GRDV2","DEF2","SGL3","GRD3","GRDV3","DEF3","SGL4","GRD4","GRDV4","DEF4","SGL5","GRD5","GRDV5","DEF5","SGL6","GRD6","GRDV6","DEF6","SGL7","GRD7","GRDV7","DEF7","SGL8","GRD8","GRDV8","DEF8","SGL9","GRD9","GRDV9","DEF9","SGL10","GRD10","GRDV10","DEF10","SGL11","GRD11","GRDV11","DEF11","SGL12","GRD12","GRDV12","DEF12","SGL13","GRD13","GRDV13","DEF13","SGL14","GRD14","GRDV14","DEF14","SGL15","GRD15","GRDV15","DEF15","SGL16","GRD16","GRDV16","DEF16","SGL17","GRD17","GRDV17","DEF17","SGL18","GRD18","GRDV18","DEF18","SGL19","GRD19","GRDV19","DEF19","SGL20","GRD20","GRDV20","DEF20","LogTrim","BA","PW_CFVOB","PW_CFVIB","PW_GreenTons","PW_WtCords","SW_CFVOB","SW_CFVIB","SW_GreenTons","SW_WtCords","IntQuarter","Doyle","Scribner","PW_Dollars","SW_Dollars","CC01","CC02","CC03","CC04","CC05","CC06","CC07","CC08","CC09","CC10","CC11","CC12","CC13","CC14","CC15","CC16","CC17","CC18","CC19","CC20","CC21","CC22"
1,54,1,,0,"AE","Elm","Elm",8.5,1,"Pulp",0,1,1,50.75335474048443,1,0,0,0,62.46347,0,37,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,478.4581977347995,395.1918888865765,16.44700054713373,5.980727471684993,0,0,0,0,0,0,0,5.980727471684993,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,144,2,,0,"AS","Ash Spp","Ash Spp",10,3,"PalletTie",0,1,1,36.6692988,1,0,0,0,67.03201,9,45,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,362.7378998454355,274.5563049086055,12.46911530718685,4.534223748067943,175.9601397139587,133.1842319920715,6.048629802667331,2.199501746424484,582.5156610757354,258.2217545146592,512.975667213042,4.534223748067943,0.2582217545146592,,"N","1","1",,,,,,,,,,,,,,,,,,
1,144,3,,0,"AS","Ash Spp","Ash Spp",8.3,2,"Boltwood",0,1,1,53.22876631538897,1,0,0,0,61.75917,0,33,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,416.7086221120882,315.4067645163394,14.32435888510303,5.208857776401103,0,0,0,0,0,0,0,5.208857776401103,0,,"N","1","2",,,,,,,,,,,,,,,,,,
1,144,4,,0,"AS","Ash Spp","Ash Spp",7.5,1,"Pulp",0,1,1,65.18986453333333,1,0,0,0,58.66462,0,27,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,356.7413834829809,270.0175384139275,12.26298505722747,4.459267293537262,0,0,0,0,0,0,0,4.459267293537262,0,,"N","1","2",,,,,,,,,,,,,,,,,,
1,146,5,,0,"AS","Ash Spp","Ash Spp",0.9,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.208869882969858,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,146,6,,0,"AS","Ash Spp","Ash Spp",0.5,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.68175,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,225,7,,0,"AS","Ash Spp","Ash Spp",4.4,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,85.26,0,0,0,0,0,0,1,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52.7947222885895,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N",,,,,,,,,,,,,,,,,,,,
1,327,8,,0,"AS","Ash Spp","Ash Spp",6.6,1,"Pulp",0,1,1,84.18112915453219,1,0,0,0,54.54956,0,19,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,277.0474157853465,209.6971822950835,9.523504917621285,3.463092697316831,0,0,0,0,0,0,0,3.463092697316831,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,327,9,,0,"AS","Ash Spp","Ash Spp",6.2,1,"Pulp",0,1,1,95.39360316380284,1,0,0,0,52.45779,0,15,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,"LL",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.00000027272152,234.3249962813726,177.360590695976,8.054921747172184,2.929062453517158,0,0,0,0,0,0,0,2.929062453517158,0,,"N","1","1",,,,,,,,,,,,,,,,,,
1,596,10,,0,"AS","Ash Spp","Ash Spp",1.5,6,"SM",0,1,1,500,0.5,0,0,0,0,0,0,0,0,0,85.25999,0,0,0,0,0,0,1,0,0,0,1,"PU",0,"TBA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.13575,0,0,0,0,0,0,0,0,0,0,0,0,0,,"N",,,,,,,,,,,,,,,,,,,,
